date,tab,block,payee,desc,amount,candidate_vendor,candidate_date,candidate_total,candidate_status,link,docId
2026-02-03,104 Ashburne,Master Bath,Lowes,Shower Niche,91.99,"Lowe's Home Centers, LLC",2026-02-03,768.99,pending,https://mail.google.com/mail/u/0/#all/19c28915ee4c0912,gm-19c28915ee4c0912
2026-03-21,104 Ashburne,Master Bath,Lowes,Window Trim,86.25,"Lowe's Home Centers, LLC",2026-03-21,297.23,posted,https://drive.google.com/file/d/1HM8VakTScJcmLg3JbX6vNGs2Uvnn0vx9/view?usp=drivesdk,gm-19d11a93764263f8
2026-04-08,104 Ashburne,Paint & Flooring,Home Depot,Floor mats,81.22,The Home Depot,2026-03-18,79.51,dismissed,https://drive.google.com/file/d/1Vfp9cGdLsBuzB9P4KM8DJlqU_Y0RDoYv/view?usp=drivesdk,gm-19d02629b0206123
2026-03-23,104 Ashburne,Small Baths,Home Depot,Angle Stops,78.64,The Home Depot,2026-03-18,79.51,dismissed,https://drive.google.com/file/d/1Vfp9cGdLsBuzB9P4KM8DJlqU_Y0RDoYv/view?usp=drivesdk,gm-19d02629b0206123
2026-03-12,104 Ashburne,Master Bath,Home Depot,Backer Board,78.21,The Home Depot,2026-03-18,79.51,dismissed,https://drive.google.com/file/d/1Vfp9cGdLsBuzB9P4KM8DJlqU_Y0RDoYv/view?usp=drivesdk,gm-19d02629b0206123
2026-03-21,104 Ashburne,Lighting & Electrical,Wauyfair,Single Bath Light Fixture,76.85,Wayfair,2026-03-18,76.85,posted,https://mail.google.com/mail/u/0/#all/19d0446213881f8d,gm-19d0446213881f8d
2026-03-12,104 Ashburne,Master Bath,Home Depot,Molding,75.86,The Home Depot,2026-04-10,76.70,dismissed,https://drive.google.com/file/d/19Hm8DPWDDJJ8gFmqNfDxX_eOrBukVVsL/view?usp=drivesdk,gm-19d7842c261c0b2b
2026-03-22,104 Ashburne,Lighting & Electrical,Home Depot,LED Tape for Master Bth Soffet,75.74,The Home Depot,2026-04-10,76.70,dismissed,https://drive.google.com/file/d/19Hm8DPWDDJJ8gFmqNfDxX_eOrBukVVsL/view?usp=drivesdk,gm-19d7842c261c0b2b
2026-08-13,366 Mesa,,Lowe's,Flashing,75.47,"Lowe's Home Centers, LLC",2026-08-13,542.40,pending,https://mail.google.com/mail/u/0/#all/19ffbab89c6e794c,gm-19ffbab89c6e794c
2026-02-20,104 Ashburne,Small Baths,Home Depot,Angle Stops,72.80,The Home Depot,2026-02-20,135.07,pending,https://mail.google.com/mail/u/0/#all/19c7be8f6b3c531b,gm-19c7be8f6b3c531b
